,step,n_step,ae_model_type,codebook_size,env_name,filter_size,final_latent_dim,latent_dim,experiment_key,goal_state_distrib_kl_div,goal_delayed_state_distrib_kl_div,goal_uniform_distrib_kl_div,explore_right_state_distrib_kl_div,explore_right_delayed_state_distrib_kl_div,explore_right_uniform_distrib_kl_div
132,8,8,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,5.309600830078125,2.996077537536621,3.902053117752075,,,
133,9,9,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,5.514811038970947,2.670072317123413,3.754103899002075,,,
134,10,10,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,7.38421630859375,2.382275342941284,3.607405662536621,,,
135,11,11,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,9.427671432495117,1.9763329029083252,3.5106945037841797,,,
136,12,12,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,11.081789016723633,1.7221128940582275,3.469259023666382,,,
137,13,13,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,12.250707626342773,0.9794120192527771,3.475034475326538,,,
138,14,14,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,11.047630310058594,0.6294719576835632,3.507413864135742,,,
139,15,15,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,9.15540885925293,0.5159118175506592,3.5181944370269775,,,
140,16,16,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,8.840317726135254,0.08368639647960663,3.542522430419922,,,
141,17,17,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,8.124549865722656,0.05937465280294418,3.6159842014312744,,,
142,18,18,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,9.35638427734375,0.04707779735326767,3.7291111946105957,,,
143,19,19,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,10.553095817565918,0.0376061387360096,3.8727519512176514,,,
144,20,20,ae,None,minigrid-door-key-stochastic,8,1024,1024,3c38a92e39cd405da6a745e330135926,10.386431694030762,0.031317003071308136,4.055161476135254,,,
